# Lantern Extractor 0.2 - Object Instances
# Format: ModelName, PosX, PosY, PosZ, RotX, RotY, RotZ, ScaleX, ScaleY, ScaleZ, ColorIndex
treetry,3910,35.88172,-784,0,-133.5938,0,0.65,0.65,0.65,318
treetry,3500,-4.326727,-463,0,-133.5938,0,1,1,1,321
treetry,3493,-4.666313,-555,0,-133.5938,0,0.65,0.65,0.65,324
treetry,3933,-24.72766,-903,0,-180,0,1.5,1.5,1.5,327
bpine1,3565,8.403456,-935,0,-133.5938,0,0.75,0.75,0.75,330
bpine1,3768,39.04113,-573,0,-133.5938,0,0.55,0.55,0.55,333
bpine1,3822,12.10547,-482,0,-133.5938,0,0.55,0.55,0.55,336
bpine1,3688,29.23091,-615,0,-133.5938,0,1.35,1.35,1.35,339
bpine1,4068,3.936959,-1020,0,-133.5938,0,0.65,0.65,0.65,342
treetry,3976,36.96602,-1125,0,-196.1719,0,1.25,1.25,1.25,345
treetry,4362,46.74794,-1161,0,-52.73438,0,1.5,1.5,1.5,348
treetry,4564,53.4193,-1089,0,-196.1719,0,1,1,1,351
bpine1,4368,-41.61633,-825,0,-196.1719,0,1.5,1.5,1.5,354
bpine1,4110,23.48417,-1057,0,-196.1719,0,0.45,0.45,0.45,357
treetry,4793,3.345956,-584,0,0,0,1.25,1.25,1.25,360
treetry,4902,30.10282,-747,0,-260.8594,0,1,1,1,363
treetry,4743,14.5152,-583,0,-260.8594,359.2969,0.65,0.65,0.65,366
bpine1,4723,47.14708,-413,0,-260.8594,0,1,1,1,369
bpine1,4918,39.34551,-864,0,-260.8594,0,0.65,0.65,0.65,372
bpine1,4962,44.12589,-897,0,-260.8594,0,1.25,1.25,1.25,375
bpine1,4872,88.21912,-1144,0,-260.8594,0,0.65,0.65,0.65,378
bpine1,4918,-4.700977,-377,0,-260.8594,0,1.5,1.5,1.5,381
treetry,4855,3.105361,-84,0,-267.1875,0,1,1,1,384
treetry,4955,-6.987547,-54,0,0,0,1.5,1.5,1.5,387
treetry,5096,28.13889,-246,0,-267.1875,0,1,1,1,390
bpine1,4923,-7.634429,91,0,-267.1875,0,0.55,0.55,0.55,393
bpine1,4959,-7.541045,26,0,-267.1875,0,1,1,1,396
bpine1,4545,-12.80348,-111,0,-267.1875,0,1,1,1,399
bpine1,5218,84.66171,-81,0,-267.1875,0,0.45,0.45,0.45,402
bpine1,5220,87.29986,-118,0,-267.1875,0,1,1,1,405
treetry,4620,-0.635175,-64,0,-338.9063,0,1,1,1,408
treetry,4746,-6.034766,297,0,-338.9063,0,1,1,1,411
treetry,4481,53.29122,631,0,-338.9063,0,1,1,1,414
bpine1,4347,41.48663,555,0,-338.9063,0,0.5999999,0.5999999,0.5999999,417
bpine1,4347,81.54882,608,0,-338.9063,0,1,1,1,420
bpine1,4311,-7.968713,183,0,-338.9063,0,0.75,0.75,0.75,423
bpine1,4175,-2.895213,243,0,-338.9063,0,1,1,1,426
bpine1,4404,-6.849885,322,0,-338.9063,0,1.35,1.35,1.35,429
treetry,3788,38.92963,195,0,-14.0625,0,1,1,1,432
treetry,3695,25.95326,580,0,-14.0625,0,1,1,1,435
treetry,3188,-3.921603,102,0,-14.0625,0,1.5,1.5,1.5,438
treetry,3684,16.15252,158,0,-270,0,0.75,0.75,0.75,441
treetry,3939,2.145492,471,0,-14.0625,0,1,1,1,444
bpine1,3520,13.2679,429,0,-14.0625,0,1,1,1,447
bpine1,3096,0.213904,24,0,-14.0625,0,0.3,0.3,0.3,450
bpine1,3306,-19.89403,624,0,-14.0625,0,1,1,1,453
treetry,3105,-4.555748,125,0,-1.40625,0,1,1,1,456
treetry,3085,-3.524596,-115,0,-1.40625,0,0.55,0.55,0.55,459
treetry,3025,6.425423,-92,0,-1.40625,0,1,1,1,462
treetry,2686,9.643815,-76,0,-1.40625,0,1,1,1,465
bpine1,2884,45.34264,-172,0,-1.40625,0,1,1,1,468
bpine1,2783,54.49312,-260,0,-1.40625,0,0.55,0.55,0.55,471
bpine1,2997,-3.706213,-34,0,-1.40625,0,1,1,1,474
bpine1,3027,-3.417113,123,0,-1.40625,0,1.35,1.35,1.35,477
bpine1,3155,-5.375124,169,0,-1.40625,0,1,1,1,480
treetry,2782,-8.735408,586,0,-300.9375,0,1,1,1,483
treetry,2528,4.848244,17,0,-300.9375,0,1,1,1,486
treetry,2569,-7.473236,142,0,-300.9375,0,1,1,1,489
treetry,2711,12.0973,204,0,-300.9375,0,1,1,1,492
treetry,2355,40.16385,-17,0,-300.9375,0,1,1,1,495
bpine1,2349,12.54906,445,0,-300.9375,0,1,1,1,498
bpine1,2652,64.90054,465,0,-300.9375,0,1,1,1,501
bpine1,2669,3.675328,207,0,-300.9375,0,0.8,0.8,0.8,504
bpine1,2318,39.73433,33,0,-300.9375,0,1,1,1,507
bpine1,2597,6.052912,255,0,-300.9375,0,0.35,0.35,0.35,510
treetry,1667,-2.06432,395,0,-354.375,0,1,1,1,513
treetry,1782,21.59434,262,0,-354.375,0,1,1,1,516
treetry,1715,31.19546,657,0,-354.375,0,0.55,0.55,0.55,519
treetry,1477,0.361975,302,0,-354.375,0,1,1,1,522
treetry,1924,-0.870805,351,0,-354.375,0,1,1,1,525
bpine1,1970,17.96279,494,0,-354.375,0,0.65,0.65,0.65,528
bpine1,1738,31.68657,212,0,-354.375,0,0.55,0.55,0.55,531
bpine1,1700,24.18966,653,0,-354.375,0,0.65,0.65,0.65,534
bpine1,1640,10.07368,277,0,-354.375,0,1,1,1,537
bpine1,2049,-1.017978,412,0,-354.375,0,1,1,1,540
treetry,798,-5.247574,347,0,-360,0,1.75,1.75,1.75,543
treetry,960,0.648539,38,0,-360,0,1,1,1,546
treetry,604,-4.320329,138,0,-360,0,1,1,1,549
treetry,1049,-2.908203,164,0,-360,0,1,1,1,552
treetry,1103,-4.407073,227,0,-90,0,1.75,1.75,1.75,555
bpine1,1088,-2.368646,141,0,-360,0,0.35,0.35,0.35,558
bpine1,1252,19.06602,-51,0,-360,0,1,1,1,561
bpine1,1036,1.598524,29,0,-360,0,1.5,1.5,1.5,564
bpine1,1005,-1.843486,115,0,-360,0,1,1,1,567
bpine1,1014,-3.185877,170,0,-90,0,0.45,0.45,0.45,570
tree71,8,-7.843029,736,0,-270,0,0.5,0.5,0.5,573
tree71,117,-7.843037,927,0,-104.0625,0,1,1,1,576
tree71,-325,-7.843125,628,0,-104.0625,0,0.55,0.55,0.55,579
tree71,-85,-7.843031,807,0,-104.0625,0,1,1,1,582
tree71,453,-0.303161,665,0,-104.0625,0,1,1,1,585
tree1,186,-7.843083,603,0,-104.0625,0,1,1,1,588
tree1,73,-7.843037,1188,0,-104.0625,0,1,1,1,591
tree1,-55,-7.843033,969,0,-104.0625,0,1,1,1,594
tree1,1,-7.843035,445,0,-104.0625,0,1,1,1,597
tree1,100,-7.843028,896,0,-104.0625,0,1,1,1,600
tree71,191,-7.843127,-154,0,-83.67188,0,1,1,1,603
tree71,184,-7.842916,-377,0,-83.67188,0,1,1,1,606
tree71,-85,-7.843036,83,0,-83.67188,0,0.65,0.65,0.65,609
tree71,278,-5.037276,152,0,-83.67188,0,1.75,1.75,1.75,612
tree71,232,-7.842878,12,0,-83.67188,0,1,1,1,615
tree1,160,-7.843096,-195,0,-83.67188,0,1.5,1.5,1.5,618
tree1,436,-7.285975,-256,0,-83.67188,0,1.75,1.75,1.75,621
tree1,248,-7.8431,-106,0,-83.67188,0,2,2,2,624
tree1,100,-7.843025,-34,0,-83.67188,0,1.45,1.45,1.45,627
tree1,-138,-7.843037,-346,0,-83.67188,0,1,1,1,630
tree71,362,-3.611969,-885,0,-50.625,0,1,1,1,633
tree71,169,-7.747669,-919,0,-50.625,0,0.65,0.65,0.65,636
tree71,270,-7.475513,-635,0,-50.625,0,1,1,1,639
tree71,198,-7.842887,-983,0,-50.625,0,1,1,1,642
tree71,140,-7.843028,-621,0,-50.625,0,1,1,1,645
tree1,240,-7.842803,-653,0,-50.625,0,2,2,2,648
tree1,127,-7.842949,-1185.5,0,-50.625,0,1,1,1,651
tree1,282,8.91915,-1166,0,-50.625,0,1,1,1,654
tree1,-2,-7.843029,-461,0,-50.625,0,1,1,1,657
tree71,-375,-7.843001,-427,0,-272.8125,0,1,1,1,660
tree71,-140,-7.843036,-644,0,-272.8125,0,1,1,1,663
tree71,-616,-7.843007,-186,0,-272.8125,0,0.55,0.55,0.55,666
tree71,-416,-7.843001,-777,0,-272.8125,0,1.5,1.5,1.5,669
tree71,-645,-7.843007,-469,0,-272.8125,0,0.65,0.65,0.65,672
tree1,-432,-7.843001,-684,0,-272.8125,0,1,1,1,675
tree1,-486,-7.843007,-206,0,-272.8125,0,1,1,1,678
tree1,-6,-7.843034,-684,0,-272.8125,0,1.5,1.5,1.5,681
tree1,-139,-7.843034,-671,0,-272.8125,0,1,1,1,684
tree1,-203,-7.843031,-709,0,-272.8125,0,0.5,0.5,0.5,687
tree71,-733,-7.842995,887,0,-270,0,1.5,1.5,1.5,690
tree71,-447,-7.843003,708,0,-91.40625,0,1,1,1,693
tree71,-801,-7.842995,895,0,-91.40625,0,0.75,0.75,0.75,696
tree71,-897,-7.842995,901,0,-91.40625,0,1,1,1,699
tree1,-627,-7.842995,1062,0,-91.40625,0,1,1,1,702
tree1,-386,-7.843003,1040,0,-91.40625,0,1.75,1.75,1.75,705
tree1,-287,-7.843113,1135,0,-91.40625,0,1,1,1,708
tree1,-428,-7.843003,848,0,-91.40625,0,1,1,1,711
tree71,-453,-7.843003,210,0,0,0,0.65,0.65,0.65,714
tree71,-436,-7.843003,416,0,-184.9219,0,0.4999999,0.4999999,0.4999999,717
tree71,-428,-7.843003,254,0,-184.9219,0,1.35,1.35,1.35,720
tree71,-466,-7.843007,35,0,-184.9219,0,1.6,1.6,1.6,723
tree71,-346,-7.843125,432,0,-184.9219,0,1,1,1,726
tree1,-902,-7.843003,196,0,-184.9219,0,1,1,1,729
tree1,-472,-7.843003,163,0,-184.9219,0,1,1,1,732
tree1,-428,-7.843001,-368,0,-184.9219,0,2,2,2,735
tree1,-45,-7.843032,38,0,-184.9219,0,1,1,1,738
tree1,-843,-7.842995,457,0,-184.9219,0,1,1,1,741
milestone1,526.6276,-7.630426,63.36028,0,-288.2813,0,1,1,1,744
bpine1,1673,19.32924,1134,0,-357.8906,0,0.65,0.65,0.65,747
bpine1,1974,80.92817,643,0,-357.8906,0,1,1,1,750
bpine1,1742,37.45166,842,0,-357.8906,0,1,1,1,753
bpine1,1611,-40.64611,947,0,-357.8906,0,0.75,0.75,0.75,756
treetry,1704,19.43645,738,0,-357.8906,0,1.25,1.25,1.25,759
treetry,1575,-64.29893,970,0,-357.8906,0,1.5,1.5,1.5,762
treetry,1738,35.21851,806,0,-357.8906,0,0.75,0.75,0.75,765
treetry,1705,38.90066,615,0,-357.8906,0,1,1,1,768
bpine1,2756,-7.344764,555,0,-322.7344,0,1,1,1,771
bpine1,2624,27.71334,1107,0,-322.7344,0,0.65,0.65,0.65,774
bpine1,2951,23.60024,822,0,-322.7344,0,1,1,1,777
treetry,2667,23.20567,1122,0,-322.7344,0,1,1,1,780
treetry,2457,37.29587,721,0,-322.7344,0,1,1,1,783
treetry,2717,-15.25598,793,0,-322.7344,0,1,1,1,786
treetry,2307,81.46716,544,0,-322.7344,0,1,1,1,789
treetry,2752,-36.77175,607,0,-90,0,0.6999999,0.6999999,0.6999999,792
bpine1,3279,5.424349,375,0,-226.4063,0,1,1,1,795
bpine1,2881,11.49523,182,0,-226.4063,0,0.45,0.45,0.45,798
bpine1,3024,28.24555,377,0,-226.4063,0,1,1,1,801
bpine1,3266,-14.72037,413,0,-226.4063,0,0.8,0.8,0.8,804
bpine1,3128,-1.38748,8,0,-226.4063,0,0.55,0.55,0.55,807
treetry,3421,-5.578066,321,0,-226.4063,0,1,1,1,810
treetry,2925,39.61701,338,0,-226.4063,0,1,1,1,813
treetry,3156,-0.650908,215,0,-226.4063,0,1,1,1,816
treetry,3059,-27.23861,484,0,-226.4063,0,1,1,1,819
treetry,3314,-24.96574,529,0,-226.4063,0,1,1,1,822
bpine1,3652,38.83666,-282,0,-338.9063,0,1,1,1,825
bpine1,4258,-31.42712,4,0,-338.9063,0,1.35,1.35,1.35,828
bpine1,4091,-77.82174,-154,0,-338.9063,0,0.65,0.65,0.65,831
bpine1,4216,-6.542637,328,0,-338.9063,0,0.55,0.55,0.55,834
bpine1,4171,2.849687,-402,0,-338.9063,0,0.65,0.65,0.65,837
treetry,4013,-78.88568,-248,0,-338.9063,0,1,1,1,840
treetry,3713,13.33469,248,0,-90,0,1.75,1.75,1.75,843
treetry,4130,-72.63584,-138,0,-338.9063,0,1.25,1.25,1.25,846
treetry,3652,34.36195,-350,0,-338.9063,0,1,1,1,849
bpine1,4074,-74.66331,-236,0,-194.7656,0,0.75,0.75,0.75,852
bpine1,3657,24.89841,-857,0,-194.7656,0,1.5,1.5,1.5,855
bpine1,4040,102.0408,-562,0,-194.7656,0,0.45,0.45,0.45,858
bpine1,4017,-67.25365,-282,0,-196.1719,0,1.25,1.25,1.25,861
bpine1,4374,84.47034,-482,0,-194.7656,0,0.5,0.5,0.5,864
treetry,3756,24.85665,-871,0,-194.7656,0,1,1,1,867
treetry,4453,-46.02856,-148,0,-194.7656,0,1,1,1,870
treetry,3980,23.36922,-489,0,0,0,1,1,1,873
treetry,3853,-1.254955,-444,0,-194.7656,0,0.9,0.9,0.9,876
treetry,4316,-2.691263,-766,0,-194.7656,0,1,1,1,879
bpine1,3193,1.075915,-481,0,-194.7656,0,0.75,0.75,0.75,882
bpine1,3064,2.392049,-510,0,-194.7656,0,0.75,0.75,0.75,885
bpine1,3166,-5.879312,-559,0,-194.7656,0,1.35,1.35,1.35,888
bpine1,3051,40.36752,-248,0,-194.7656,0,1,1,1,891
bpine1,3467,29.31407,-63,0,-194.7656,0,1,1,1,894
treetry,3104,-8.417326,-709,0,-194.7656,0,1,1,1,897
treetry,3261,-6.988415,-427,0,-194.7656,0,1,1,1,900
treetry,3433,0.00982,-275,0,-180,0,0.5,0.5,0.5,903
treetry,3113,-4.457038,-75,0,-194.7656,0,1.25,1.25,1.25,906
treetry,2818,-0.167203,-517,0,-194.7656,0,1,1,1,909
bpine1,2777,5.208291,14,0,-114.6094,0,1.25,1.25,1.25,912
bpine1,2716,-5.176452,62,0,-114.6094,0,0.6999999,0.6999999,0.6999999,915
bpine1,3312,-5.122955,-583,0,-114.6094,0,0.4,0.4,0.4,918
bpine1,3019,43.02109,-322,0,-114.6094,0,0.65,0.65,0.65,921
bpine1,2977,-46.3754,-748,0,-114.6094,0,0.55,0.55,0.55,924
treetry,2819,27.82346,-345,0,-114.6094,0,1,1,1,927
treetry,3304,-6.285595,-323,0,0,0,1.75,1.75,1.75,930
treetry,2892,-10.19369,-659,0,-114.6094,0,0.65,0.65,0.65,933
treetry,2852,2.103875,-671,0,-114.6094,0,1,1,1,936
treetry,3459,-2.076521,-339,0,-114.6094,0,1,1,1,939
bpine1,2048,-69.73412,-707,0,-232.7344,0,1,1,1,942
bpine1,2233,-37.94339,-847,0,-232.7344,0,0.65,0.65,0.65,945
bpine1,2852,2.842655,-957,0,-232.7344,0,1.25,1.25,1.25,948
bpine1,2723,54.18908,-874,0,-232.7344,0,1,1,1,951
bpine1,2228,-28.97772,-700,0,-232.7344,0,1.25,1.25,1.25,954
treetry,2368,-2.966282,-748,0,-232.7344,0,1,1,1,957
treetry,2417,86.31731,-1136,0,-232.7344,0,1,1,1,960
treetry,2464,15.73193,-525,0,-232.7344,0,0.75,0.75,0.75,963
treetry,2586,20.65914,-571,0,0,0,1.5,1.5,1.5,966
treetry,2016,-73.55756,-810,0,-232.7344,0,1,1,1,969
bpine1,1181,64.6778,-522,0,-63.28125,0,1,1,1,972
bpine1,1392,22.42772,-654,0,-63.28125,0,0.55,0.55,0.55,975
bpine1,1053,14.99293,-580,0,-63.28125,0,0.75,0.75,0.75,978
bpine1,1075,24.14115,-566,0,-63.28125,0,0.45,0.45,0.45,981
bpine1,927,30.4983,-297,0,-63.28125,0,1,1,1,984
treetry,770,23.12426,-367,0,-63.28125,0,1,1,1,987
treetry,1087,7.364933,-683.5,0,-63.28125,0,1,1,1,990
treetry,1290,90.83115,-426,0,-63.28125,0,1,1,1,993
treetry,1058,7.583304,-86,0,-63.28125,0,1.75,1.75,1.75,996
treetry,1227,70.2124,-494,0,-63.28125,0,1,1,1,999
bpine1,105,-7.843028,-529,0,-180.7031,0,0.5,0.5,0.5,1002
bpine1,449,-3.420182,-547,0,-180.7031,0,1,1,1,1005
bpine1,192,-7.842902,-565,0,-180.7031,0,1,1,1,1008
bpine1,-38,-7.843035,-289,0,-180.7031,0,1,1,1,1011
treetry,711,-2.833477,-44,0,-180.7031,0,0.75,0.75,0.75,1014
treetry,255,-7.831664,-363,0,-180.7031,0,1,1,1,1017
treetry,142,-7.843031,-663,0,-180.7031,0,0.65,0.65,0.65,1020
treetry,109,-7.843031,-696,0,-270,0,1.25,1.25,1.25,1023
treetry,-134,-7.843025,-466,0,-180.7031,0,1,1,1,1026
tree1,7,-7.843032,-27,0,-287.5781,0,0.6999999,0.6999999,0.6999999,1029
tree1,-83,-7.843036,-219,0,-287.5781,0,1,1,1,1032
tree1,-511,-7.843007,17,0,-287.5781,0,1,1,1,1035
tree1,-350,-7.843001,-42,0,-287.5781,0,1.75,1.75,1.75,1038
tree71,-108,-7.843025,6,0,-287.5781,0,1,1,1,1041
tree71,-39,-7.843032,201,0,-287.5781,0,1.75,1.75,1.75,1044
tree71,-563,-7.843003,375,0,-287.5781,0,1.25,1.25,1.25,1047
tree71,-97,-7.843036,-408,0,-287.5781,0,1,1,1,1050
tree71,136,-7.843037,144,0,-287.5781,0,0.65,0.65,0.65,1053
tree1,-19,-7.843036,260,0,-87.89063,0,1,1,1,1056
tree1,223,-7.843044,706,0,-87.89063,0,1,1,1,1059
tree1,-78,-7.843036,458,0,-87.89063,0,1,1,1,1062
tree1,-77,-7.843036,701,0,-87.89063,0,1,1,1,1065
tree1,-283,-7.843103,769,0,-87.89063,0,1.75,1.75,1.75,1068
tree71,64,-7.84304,198,0,-87.89063,0,1,1,1,1071
tree71,309,-7.718955,710,0,-87.89063,0,1.5,1.5,1.5,1074
tree71,-215,-7.843018,735,0,-87.89063,0,1.35,1.35,1.35,1077
tree71,340,-7.654279,708,0,-180,0,0.5,0.5,0.5,1080
tree71,-128,-7.843028,436,0,-87.89063,0,1,1,1,1083
tree1,1539,51.66813,-59,0,-314.2969,0,1,1,1,1086
tree1,1427,34.03803,92,0,-314.2969,0,1,1,1,1089
tree1,1343,18.49498,174,0,-314.2969,0,1.5,1.5,1.5,1092
tree1,1387,32.78319,-2,0,-314.2969,0,1.5,1.5,1.5,1095
tree1,1641,40.69098,143,0,-314.2969,0,1,1,1,1098
tree71,1505,93.10882,-184,0,-314.2969,0,1,1,1,1101
tree71,1583,-4.021358,336,0,-314.2969,0,1,1,1,1104
tree71,1173,17.01089,-108,0,-314.2969,0,1.5,1.5,1.5,1107
tree71,1220,15.07856,-28,0,-90,0,0.65,0.65,0.65,1110
tree71,1859,16.90745,271,0,-314.2969,0,1,1,1,1113
tree1,2154,47.26969,557,0,-356.4844,0,1,1,1,1116
tree1,2336,5.706716,411,0,-356.4844,0,1.5,1.5,1.5,1119
tree1,2726,-5.835888,44,0,-356.4844,0,1,1,1,1122
tree1,2295,22.4915,144,0,-356.4844,0,1,1,1,1125
tree71,2507,-4.093915,120,0,-356.4844,0,1.75,1.75,1.75,1128
tree71,2114,1.844439,322.75,0,-356.4844,0,1,1,1,1131
tree71,1944,13.5438,260,0,-356.4844,0,1,1,1,1134
tree71,2287,-4.373429,326,0,-356.4844,0,1,1,1,1137
lightpole,1363.618,-2.369004,278.0588,0,-116.0156,0,1,1,1,1140
campfire,3788.986,-23.33593,978.0673,0,-217.9688,0,1,1,1,1143
campfire,3955.439,-24.06901,955.6116,0,-300.9375,0,1,1,1,1146
